Actual Labels,Predicted Labels,Decision Values
26,1,0.5714259368082898
0,0,0.07129473304473305
273,0,0.20599880674880672
53,1,0.5058014208014208
31,0,0.4757895540132383
7,1,0.7231826008958363
45,0,0.4763920026052377
2,1,0.6983011433011431
33,1,0.5217320873570872
342,0,0.25733775946275944
71,0,0.41088492063492077
31,1,0.5774315129315131
3,0,0.4733226658961953
125,1,0.561771201021201
102,0,0.3436341852591853
64,0,0.49017524142524144
60,1,0.6857956643030172
203,0,0.4680737424769931
30,0,0.32052636252636246
2,1,0.8668435453435454
0,0,0.2334020131914869
154,0,0.41685336885336904
0,0,0.222670542907385
2,1,0.5524863665746017
179,0,0.33463312096400327
368,0,0.3937154650904652
26,1,0.687241560125461
110,1,0.607563852813853
3,1,0.5675382395382395
50,1,0.6226402208902211
11,1,0.5942695654019183
3,1,0.6352569848452204
11,1,0.5407741882300706
5267,0,0.11609930347430347
5,1,0.813511040430158
538,0,0.35169188121819694
75,1,0.6810997752247754
18,1,0.7973569223473317
26,1,0.5125336812310496
92,0,0.47047771672771665
21,0,0.3513365800865802
783,0,0.41569701497333084
0,0,0.13583824508824505
254,0,0.2598177981289436
153,0,0.4812313683478543
224,1,0.6151093139316824
8,1,0.6645009671700847
123,0,0.4345178220901904
67,1,0.5777879400011753
1,0,0.49886689617571967
12,0,0.46444964757464774
0,1,0.5740239303180479
18,1,0.6366620324120326
3482,0,0.15284096532122846
8,0,0.4158608058608058
150,0,0.44738471250971257
107,0,0.3269352314352314
59,1,0.7312021034521036
265,0,0.32571599307125626
28,0,0.44550201840643006
0,0,0.4983347485847488
0,0,0.25856399156399146
0,1,0.5961135808635807
17,0,0.446429327208739
0,0,0.07136073137388928
4043,0,0.270896423021423
3,1,0.8126817626817627
75,0,0.46728052503052503
336,1,0.6385610851566733
7,1,0.6218844684727037
14,1,0.7350847624597625
59,0,0.252201825951826
3,1,0.5939574037074038
1,1,0.6159121213753567
1,1,0.526849765430648
94,1,0.7305608141858141
609,0,0.3973480664072768
52,0,0.3517030747030747
608,0,0.29744315479841793
52,1,0.6409100015481592
0,0,0.4396620577135281
0,1,0.5956198246198245
1,0,0.46816012642328436
0,0,0.11873581973581976
67,0,0.1517458236208236
25,1,0.6731851008468653
733,0,0.2091205877455877
4,1,0.7006925296925296
66,0,0.3345816528242998
53,0,0.4647670385170386
19,0,0.48656630869130874
0,0,0.3606913462354639
0,0,0.3079587952896776
11,1,0.6922672882672881
0,0,0.2698360805860805
23,1,0.615176171051171
14,1,0.5330432345432345
142,1,0.6298654278727807
6,0,0.33465802253302257
0,0,0.05275444000444
39,0,0.34043564768564755
16,0,0.45681451881451884
401,0,0.2494295565545565
0,0,0.29293056943056933
2,1,0.5293313083974848
25,0,0.428003885003885
14,1,0.8142329928843087
195,0,0.23492982017982011
98,1,0.710241851285969
0,0,0.21766522366522367
165,0,0.39138402533139377
733,0,0.46769985569985567
13,1,0.7840874501315678
731,0,0.2232003968253968
1230,0,0.4430556395359028
